"","source","target","value","IDsource","IDtarget"
"1","AGRICULTURAL AREAS","ARTIFICIAL SURFACES ",190684521,0,5
"2","AGRICULTURAL AREAS","FOREST AND SEMINATURAL AREAS ",510100890,0,6
"3","AGRICULTURAL AREAS","WATER BODIES ",21198006,0,7
"4","AGRICULTURAL AREAS","WETLANDS ",721466,0,8
"5","ARTIFICIAL SURFACES","AGRICULTURAL AREAS ",120809490,1,9
"6","ARTIFICIAL SURFACES","FOREST AND SEMINATURAL AREAS ",30589565,1,6
"7","ARTIFICIAL SURFACES","WATER BODIES ",1258303,1,7
"8","ARTIFICIAL SURFACES","WETLANDS ",399377,1,8
"9","FOREST AND SEMINATURAL AREAS","AGRICULTURAL AREAS ",1856889399,2,9
"10","FOREST AND SEMINATURAL AREAS","ARTIFICIAL SURFACES ",42097736,2,5
"11","FOREST AND SEMINATURAL AREAS","WATER BODIES ",39068283,2,7
"12","FOREST AND SEMINATURAL AREAS","WETLANDS ",1742045,2,8
"13","WATER BODIES","AGRICULTURAL AREAS ",5811946,3,9
"14","WATER BODIES","ARTIFICIAL SURFACES ",2417047,3,5
"15","WATER BODIES","FOREST AND SEMINATURAL AREAS ",31008972,3,6
"16","WATER BODIES","WETLANDS ",547745,3,8
"17","WETLANDS","AGRICULTURAL AREAS ",480627,4,9
"18","WETLANDS","ARTIFICIAL SURFACES ",204648,4,5
"19","WETLANDS","FOREST AND SEMINATURAL AREAS ",55947,4,6
"20","WETLANDS","WATER BODIES ",3272279,4,7
